name,address,services,status
"Legal Name: BARTER INC.,  Operating Name: BARTER INC.","3600 HIGHWAY 7,WOODBRIDGE,ONTARIO,CANADA,L4L 0G7","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: CASH VALLEY INC,  Operating Name: CASH VALLEY","866 MARKHAM ROAD,SCARBOROUGH,ONTARIO,CANADA,M1H 2Y2","Foreign Exchange, Money Transferring, Virtual Currency, Cheque Cashing",Registered
"Legal Name: REMNAI INTERNATIONAL GROUP INC.,  Operating Name: REMNAI INTERNATIONAL GROUP INC.","70 GIBSON DRIVE, UNIT 1,MARKHAM,ONTARIO,CANADA,L3R 4C2","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency",Registered
"Legal Name: WEPAY FINTECH LTD,  Operating Name: WEPAY PAYMENTS, WEPAY CRYPTO ASSETS, WEPAY FX EXCHANGE","700-225 EAST BEAVER CREEK ROAD,RICHMOND HILL,ONTARIO,CANADA,L4B 3P4","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency, PSP, Cheque Cashing",Registered
"Legal Name: FASTVAULT LTD,  Operating Name: FASTPAY, FAST DIGITAL ASSETS","231 OAK PARK BLVD, SUITE 301,OAKVILLE,ONTARIO,CANADA,L6H 7S8","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency, PSP, Cheque Cashing",Registered
"Legal Name: BOEX CANADA INC.,  Operating Name: BOEX","600-135 QUEEN PLATE DRIVE,TORONTO,ONTARIO,CANADA,M9W 6V7","Foreign Exchange, Money Transferring, PSP",Registered
"Legal Name: BERNAL FINANCE LTD.,  Operating Name: BERNAL FINANCE LTD.","600-1285 WEST BROADWAY ,VANCOUVER,ONTARIO,CANADA,V6H 3X8","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: XTRADER CAPITAL LIMITED,  Operating Name: XTRADER CAPITAL LIMITED","712-250 CONSUMERS ROAD,TORONTO,ONTARIO,CANADA,M2J 4V6","Foreign Exchange, Virtual Currency, PSP",Registered
"Legal Name: 2147353 ONTARIO INC.,  Operating Name: CASH SHOP #27","103 - 808 BRITANIA ROAD WEST,MISSISSAUGA,ONTARIO,CANADA,L5V 0A7","Foreign Exchange, Money Transferring",Registered
"Legal Name: 17194391 CANADA CORP.,  Operating Name: 17194391 CANADA CORP.","3 GLADIATOR ROAD,MARKHAM,ONTARIO,CANADA,L3P 1J1","Foreign Exchange, Virtual Currency",Registered
"Legal Name: BITBANKI LTD,  Operating Name: BANKI PAY, BANKI CRYPTO ASSETS, BANKI CURRENCY EXCHANGE","200-2020 WINSTON PARK DRIVE,OAKVILLE,ONTARIO,CANADA,L6H 6X7","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency, PSP, Cheque Cashing",Registered
"Legal Name: 1561432 B.C. LTD.,  Operating Name: ORGULHO FINANCE INC","59 BENJAMIN HOOD CRESCENT,VAUGHAN,ONTARIO,CANADA,L4K 5M6","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: 1001355572 ONTARIO INC,  Operating Name: 1001355572 ONTARIO INC","1002-5168 YONGE STREET,NORTH YORK,ONTARIO,CANADA,M2N 0G1","Foreign Exchange, Money Transferring",Registered
"Legal Name: FUSE FINANCE (CANADA) LTD,  Operating Name: FUSE","1706-935 DUNDAS STREET EAST,MISSISSAUGA,ONTARIO,CANADA,L4Y 4B7","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: SIDO ENTERPRISE CORP.,  Operating Name: SIDO ENTERPRISE CORP.","1121-235 BLOOR STREET EAST,TORONTO,ONTARIO,CANADA,M4W 3Y3","Foreign Exchange, Money Transferring, PSP",Registered
"Legal Name: XEND CANADA LIMITED,  Operating Name: XEND CANADA LIMITED","103-20 BAY STREET,TORONTO,ONTARIO,CANADA,M5J 2N8","Foreign Exchange, Money Transferring, Virtual Currency",Registered
"Legal Name: BITHARBOUR LTD,  Operating Name: BITHARBOUR CRYPTO ASSETS, BITHARBOURPAY, BITHARBOUR CURRENCY EXCHANGE","200-5700 YONGE STREET,NORTH YORK,ONTARIO,CANADA,M2M 4K2","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency, PSP, Cheque Cashing",Registered
"Legal Name: RAZVI, ALI HASSAN,  Operating Name: CANWEST CONNECT","301 - 150 CONSUMERS ROAD,NORTH YORK,ONTARIO,CANADA,M2J 1P9","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
